GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM,VISITOR_TEAM,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
12/31/2019,21900497,Final,Hornets,Celtics,2019,92,0.395,0.75,0.353,25,41,109,0.454,0.7,0.368,25,54
12/31/2019,21900498,Final,Pacers,76ers,2019,115,0.488,0.769,0.44,35,38,97,0.407,0.85,0.207,24,47
12/31/2019,21900499,Final,Kings,Clippers,2019,87,0.413,0.684,0.286,20,41,105,0.409,0.955,0.333,21,51
12/31/2019,21900500,Final,Raptors,Cavaliers,2019,117,0.476,0.8,0.436,29,45,97,0.425,0.813,0.263,21,41
12/31/2019,21900501,Final,Rockets,Nuggets,2019,130,0.529,0.71,0.471,20,43,104,0.464,0.667,0.32,25,39
12/31/2019,21900502,Final,Spurs,Warriors,2019,117,0.469,0.765,0.452,30,53,113,0.458,0.722,0.444,31,44
12/31/2019,21900503,Final,Thunder,Mavericks,2019,106,0.429,0.786,0.222,18,56,101,0.355,0.741,0.294,19,49
12/30/2019,21900491,Final,Magic,Hawks,2019,93,0.416,0.583,0.2,22,40,101,0.481,0.824,0.31,21,52
12/30/2019,21900492,Final,Wizards,Heat,2019,123,0.512,0.667,0.459,26,40,105,0.452,0.744,0.357,18,44
12/30/2019,21900493,Final,Bulls,Bucks,2019,102,0.374,0.625,0.386,26,43,123,0.548,0.833,0.344,29,59
12/30/2019,21900494,Final,Timberwolves,Nets,2019,122,0.404,0.724,0.386,20,60,115,0.404,0.741,0.366,22,58
12/30/2019,21900495,Final,Jazz,Pistons,2019,104,0.47,0.8,0.385,20,46,81,0.38,0.739,0.286,14,43
12/30/2019,21900496,Final,Trail Blazers,Suns,2019,116,0.458,0.778,0.412,24,42,122,0.478,0.955,0.565,29,44
12/29/2019,21900486,Final,Raptors,Thunder,2019,97,0.422,1,0.375,21,42,98,0.436,0.87,0.303,15,43
